id_local,nombre,categoria,direccion,barrio,comuna
316,MARINI,RESTAURANTE,SANTA FE AV. 3666,Palermo,Comuna 14
317,MARK'S DELI & COFFEE HOUSE,RESTAURANTE,EL SALVADOR 4701,Palermo,Comuna 14
319,MARROCO,RESTAURANTE,GUEMES 3902,Palermo,Comuna 14
922,MARTIN,RESTAURANTE,"MONTES DE OCA, MANUEL 1602",Barracas,Comuna 4
825,MARTIN,CAFE,"YRIGOYEN, HIPOLITO 1914",Balvanera,Comuna 3
318,MARTINEZ,RESTAURANTE,SANTA FE AV. 4298,Palermo,Comuna 14
1178,MARTIN FIERRO,RESTAURANTE,RIVERA INDARTE AV. 22,Flores,Comuna 7
1829,MASTER,CAFE,CORDOBA AV. 811,Retiro,Comuna 1
827,MATARAAN AA KENNY,CAFE,MORENO 3099,Balvanera,Comuna 3
826,MATEO,RESTAURANTE,RIVADAVIA AV. 2402,Balvanera,Comuna 3
1241,MATERELLO,RESTAURANTE,"RODRIGUEZ, MARTIN 517",Boca,Comuna 4
923,MATIAS BARRACAS,RESTAURANTE,AZARA 108,Barracas,Comuna 4
828,MATICES,RESTAURANTE,PUEYRREDON AV. 833,Balvanera,Comuna 3
1444,MATICES,RESTAURANTE,MORENO 1521,Monserrat,Comuna 1
320,MATU CAFE,RESTAURANTE,SANTA FE AV. 3870,Palermo,Comuna 14
1445,MAX CAFFEE,RESTAURANTE,"YRIGOYEN, HIPOLITO 1492",Monserrat,Comuna 1
321,MAXIMO,BAR,HONDURAS 5551,Palermo,Comuna 14
829,MAXIMO BAR RESTAURANT,CONFITERIA,"MITRE, BARTOLOME 2158",Balvanera,Comuna 3
2024,MC DONALD'S,CAFE,FLORIDA 935,Retiro,Comuna 1
1028,MC DONALD'S,RESTAURANTE,RIVADAVIA AV. 5700,Caballito,Comuna 6
1029,MC DONALD'S,RESTAURANTE,RIVADAVIA AV. 5730,Caballito,Comuna 6
1030,MC DONALD'S,RESTAURANTE,RIVADAVIA AV. 4515,Almagro,Comuna 5
1031,MC DONALD'S,RESTAURANTE,RIVADAVIA AV. 5108,Caballito,Comuna 6
1032,MC DONALD'S,RESTAURANTE,RIVADAVIA AV. 5703,Caballito,Comuna 6
838,MC DONALD'S,RESTAURANTE,RIVADAVIA AV. 2199,Balvanera,Comuna 3
2680,MC DONALD'S,CAFE,CORRIENTES AV. 5230,Villa Crespo,Comuna 15
1620,MC DONALD'S,CAFE,"MOREAU DE JUSTO, ALICIA AV. 850",Puerto Madero,Comuna 1
1578,MC DONALD'S,RESTAURANTE,ENTRE RIOS AV. 2195,Parque Patricios,Comuna 4
1542,MC DONALD'S,RESTAURANTE,LA PLATA AV. 1768,Boedo,Comuna 5
2811,MC DONALD'S,RESTAURANTE,TRIUNVIRATO AV. 4680,Villa Urquiza,Comuna 12
1509,MC DONALD'S,CAFE,DEL LIBERTADOR AV. 7112,NuÃƒÂ±ez,Comuna 13
1447,MC DONALD'S,RESTAURANTE,DE MAYO AV. 650,Monserrat,Comuna 1
2779,MC DONALD'S,RESTAURANTE,DE LOS CONSTITUYENTES AV. 6020,Villa Pueyrredon,Comuna 12
1446,MC DONALD'S,RESTAURANTE,LIMA 667,Monserrat,Comuna 1
1309,MC DONALD'S,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 7450",Mataderos,Comuna 9
1308,MC DONALD'S,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 7400",Mataderos,Comuna 9
1275,MC DONALD'S,RESTAURANTE,"FALCON, RAMON L.,CNEL. 7115",Liniers,Comuna 9
2694,MC DONALD'S,RESTAURANTE,CUENCA 3234,Villa Del Parque,Comuna 11
2603,MC DONALD'S,RESTAURANTE,"GARCIA, MARTIN AV. 682",Barracas,Comuna 4
2602,MC DONALD'S,RESTAURANTE,"GIUFFRA, JOSE M.,DR. 242",San Telmo,Comuna 1
1830,MC DONALD'S,CAFE,SANTA FE AV. 2468,Recoleta,Comuna 2
1831,MC DONALD'S,CAFE,SANTA FE AV. 1430,Recoleta,Comuna 2
1832,MC DONALD'S,CAFE,SANTA FE AV. 1765,Recoleta,Comuna 2
1833,MC DONALD'S,CAFE,SANTA FE AV. 1950,Recoleta,Comuna 2
1834,MC DONALD'S,CAFE,"LOPEZ, VICENTE 2008",Recoleta,Comuna 2
2392,MC DONALD'S,RESTAURANTE,CORRIENTES AV. 980,San Nicolas,Comuna 1
2391,MC DONALD'S,RESTAURANTE,CALLAO AV. 131,San Nicolas,Comuna 1
2390,MC DONALD'S,RESTAURANTE,FLORIDA 500,San Nicolas,Comuna 1
645,MC DONALD'S,RESTAURANTE,RIVADAVIA AV. 3865,Almagro,Comuna 5
646,MC DONALD'S,RESTAURANTE,CORDOBA AV. 3821,Palermo,Comuna 14
1180,MC DONALD'S,RESTAURANTE,RIVADAVIA AV. 6620,Flores,Comuna 7
830,MC DONALD'S,CONFITERIA,"URIBURU JOSE E., Pres. 3",Balvanera,Comuna 3
831,MC DONALD'S,RESTAURANTE,CORRIENTES AV. 2558,Balvanera,Comuna 3
832,MC DONALD'S,RESTAURANTE,CORRIENTES AV. 3247,Balvanera,Comuna 3
833,MC DONALD'S,RESTAURANTE,CORDOBA AV. 2039,Recoleta,Comuna 2
834,MC DONALD'S,RESTAURANTE,CORRIENTES AV. 2558,Balvanera,Comuna 3
835,MC DONALD'S,RESTAURANTE,CORRIENTES AV. 3247,Balvanera,Comuna 3
836,MC DONALD'S,RESTAURANTE,CORDOBA AV. 2039,Recoleta,Comuna 2
837,MC DONALD'S,RESTAURANTE,RIVADAVIA AV. 3145,Balvanera,Comuna 3
839,MC DONALD'S,RESTAURANTE,PUEYRREDON AV. 230,Balvanera,Comuna 3
329,MC DONALD'S,BAR,SANTA FE AV. 4280,Palermo,Comuna 14
325,MC DONALD'S,BAR,SANTA FE AV. 4601,Palermo,Comuna 14
327,MC DONALD'S,BAR,SANTA FE AV. 4280,Palermo,Comuna 14
324,MC DONALD'S,BAR,"SCALABRINI ORTIZ, RAUL 3149",Palermo,Comuna 14
326,MC DONALD'S,BAR,"SCALABRINI ORTIZ, RAUL AV. 2034",Palermo,Comuna 14
323,MC DONALD'S,BAR,CABILDO AV. 742,Colegiales,Comuna 13
330,MC DONALD'S,BAR,"SALGUERO, JERONIMO 3172",Palermo,Comuna 14
528,MC DONALD'S,RESTAURANTE,CABILDO AV. 2254,Belgrano,Comuna 13
529,MC DONALD'S,RESTAURANTE,CABILDO AV. 2523,Belgrano,Comuna 13
530,MC DONALD'S,RESTAURANTE,DEL LIBERTADOR AV. 6068,Belgrano,Comuna 13
328,MC DONALD'S,BAR,"CAMPOS, LUIS M. AV. 900",Palermo,Comuna 14
322,MC NOR,BAR,JUNCAL 3599,Palermo,Comuna 14
840,MEDITERRANEO,RESTAURANTE,SAN LUIS 2902,Balvanera,Comuna 3
2722,MEET,RESTAURANTE,SAN MARTIN AV. 6301,Villa Devoto,Comuna 11
610,MEET,RESTAURANTE,SAN MARTIN AV. 6300,Villa Devoto,Comuna 11
2393,MEETING PLACE,CONFITERIA,LAVALLE 1661,San Nicolas,Comuna 1
